id,name,description,brand,price,rating,category
0,Nike Shoes 0,Nike sports shoes for high performance,Nike,1192,1.6,shoes
1,Adidas Shoes 1,Adidas comfortable street shoes,Adidas,4490,2.3,shoes
2,Reebok Shoes 2,Reebok gym training sneakers,Reebok,4880,3.1,shoes
3,Nike Shoes 3,Nike lightweight training shoes,Nike,4622,1.3,shoes
4,Reebok Shoes 4,Reebok durable running shoes,Reebok,1609,2.2,shoes
5,Reebok Shoes 5,Reebok gym training sneakers,Reebok,3025,3.6,shoes
6,Reebok Shoes 6,Reebok durable running shoes,Reebok,1090,3.8,shoes
7,Nike Shoes 7,Nike running shoes for athletes,Nike,4193,2.0,shoes
8,Puma Shoes 8,Puma lightweight running shoes,Puma,2211,3.0,shoes
9,Nike Shoes 9,Nike lightweight training shoes,Nike,3677,4.5,shoes
10,Puma Shoes 10,Puma lightweight running shoes,Puma,2416,4.0,shoes
11,Reebok Shoes 11,Reebok fitness shoes for workouts,Reebok,2133,3.2,shoes
12,Adidas Shoes 12,Adidas ultraboost running shoes,Adidas,1372,4.3,shoes
13,Nike Shoes 13,Nike running shoes for athletes,Nike,4124,3.6,shoes
14,Reebok Shoes 14,Reebok gym training sneakers,Reebok,1352,4.7,shoes
15,Nike Shoes 15,Nike running shoes for athletes,Nike,3420,2.2,shoes
16,Adidas Shoes 16,Adidas ultraboost running shoes,Adidas,2021,2.2,shoes
17,Reebok Shoes 17,Reebok gym training sneakers,Reebok,1259,3.2,shoes
18,Adidas Shoes 18,Adidas stylish sneakers for casual wear,Adidas,4556,4.3,shoes
19,Adidas Shoes 19,Adidas comfortable street shoes,Adidas,1804,2.7,shoes
20,Nike Shoes 20,Nike sports shoes for high performance,Nike,1060,1.4,shoes
21,Reebok Shoes 21,Reebok durable running shoes,Reebok,1288,1.1,shoes
22,Adidas Shoes 22,Adidas comfortable street shoes,Adidas,3946,4.0,shoes
23,Puma Shoes 23,Puma training shoes for gym,Puma,1477,2.4,shoes
24,Reebok Shoes 24,Reebok gym training sneakers,Reebok,2858,2.9,shoes
25,Adidas Shoes 25,Adidas stylish sneakers for casual wear,Adidas,2200,4.5,shoes
26,Reebok Shoes 26,Reebok fitness shoes for workouts,Reebok,2768,4.2,shoes
27,Nike Shoes 27,Nike running shoes for athletes,Nike,2975,2.2,shoes
28,Adidas Shoes 28,Adidas ultraboost running shoes,Adidas,868,1.9,shoes
29,Puma Shoes 29,Puma lightweight running shoes,Puma,4487,2.8,shoes
30,Puma Shoes 30,Puma sports shoes for daily use,Puma,2390,1.2,shoes
31,Reebok Shoes 31,Reebok fitness shoes for workouts,Reebok,2550,4.5,shoes
32,Reebok Shoes 32,Reebok gym training sneakers,Reebok,3219,2.0,shoes
33,Reebok Shoes 33,Reebok fitness shoes for workouts,Reebok,4773,2.5,shoes
34,Nike Shoes 34,Nike sports shoes for high performance,Nike,3641,1.5,shoes
35,Reebok Shoes 35,Reebok gym training sneakers,Reebok,1470,1.4,shoes
36,Adidas Shoes 36,Adidas stylish sneakers for casual wear,Adidas,2551,2.4,shoes
37,Puma Shoes 37,Puma sports shoes for daily use,Puma,1480,1.6,shoes
38,Nike Shoes 38,Nike sports shoes for high performance,Nike,1228,4.1,shoes
39,Reebok Shoes 39,Reebok gym training sneakers,Reebok,3758,2.9,shoes
40,Puma Shoes 40,Puma sports shoes for daily use,Puma,2052,4.3,shoes
41,Adidas Shoes 41,Adidas comfortable street shoes,Adidas,2423,4.3,shoes
42,Reebok Shoes 42,Reebok fitness shoes for workouts,Reebok,3413,2.7,shoes
43,Puma Shoes 43,Puma sports shoes for daily use,Puma,2887,1.2,shoes
44,Nike Shoes 44,Nike lightweight training shoes,Nike,3847,4.8,shoes
45,Reebok Shoes 45,Reebok fitness shoes for workouts,Reebok,4268,4.3,shoes
46,Puma Shoes 46,Puma sports shoes for daily use,Puma,3055,3.9,shoes
47,Reebok Shoes 47,Reebok durable running shoes,Reebok,702,3.1,shoes
48,Reebok Shoes 48,Reebok gym training sneakers,Reebok,4401,4.6,shoes
49,Adidas Shoes 49,Adidas ultraboost running shoes,Adidas,1297,1.2,shoes
50,Nike Shoes 50,Nike lightweight training shoes,Nike,2756,1.3,shoes
51,Reebok Shoes 51,Reebok durable running shoes,Reebok,2967,1.2,shoes
52,Puma Shoes 52,Puma training shoes for gym,Puma,3575,1.0,shoes
53,Nike Shoes 53,Nike lightweight training shoes,Nike,4127,4.9,shoes
54,Puma Shoes 54,Puma training shoes for gym,Puma,1759,3.3,shoes
55,Puma Shoes 55,Puma sports shoes for daily use,Puma,555,2.9,shoes
56,Adidas Shoes 56,Adidas stylish sneakers for casual wear,Adidas,3881,2.9,shoes
57,Reebok Shoes 57,Reebok fitness shoes for workouts,Reebok,3169,3.0,shoes
58,Reebok Shoes 58,Reebok fitness shoes for workouts,Reebok,4389,4.1,shoes
59,Puma Shoes 59,Puma sports shoes for daily use,Puma,4491,2.9,shoes
60,Puma Shoes 60,Puma sports shoes for daily use,Puma,4309,3.7,shoes
61,Puma Shoes 61,Puma sports shoes for daily use,Puma,4127,2.9,shoes
62,Nike Shoes 62,Nike running shoes for athletes,Nike,2746,3.4,shoes
63,Nike Shoes 63,Nike running shoes for athletes,Nike,4707,4.5,shoes
64,Adidas Shoes 64,Adidas stylish sneakers for casual wear,Adidas,3161,4.0,shoes
65,Nike Shoes 65,Nike lightweight training shoes,Nike,1608,3.3,shoes
66,Reebok Shoes 66,Reebok fitness shoes for workouts,Reebok,1791,4.7,shoes
67,Reebok Shoes 67,Reebok durable running shoes,Reebok,848,2.0,shoes
68,Puma Shoes 68,Puma sports shoes for daily use,Puma,4792,3.2,shoes
69,Adidas Shoes 69,Adidas stylish sneakers for casual wear,Adidas,3289,3.9,shoes
70,Puma Shoes 70,Puma sports shoes for daily use,Puma,3324,3.2,shoes
71,Nike Shoes 71,Nike running shoes for athletes,Nike,1851,1.5,shoes
72,Reebok Shoes 72,Reebok durable running shoes,Reebok,3617,1.2,shoes
73,Reebok Shoes 73,Reebok fitness shoes for workouts,Reebok,3659,3.0,shoes
74,Reebok Shoes 74,Reebok gym training sneakers,Reebok,3442,1.1,shoes
75,Nike Shoes 75,Nike running shoes for athletes,Nike,1061,1.6,shoes
76,Reebok Shoes 76,Reebok durable running shoes,Reebok,3104,1.7,shoes
77,Nike Shoes 77,Nike lightweight training shoes,Nike,1090,3.9,shoes
78,Adidas Shoes 78,Adidas comfortable street shoes,Adidas,3487,1.8,shoes
79,Reebok Shoes 79,Reebok fitness shoes for workouts,Reebok,1154,2.4,shoes
80,Puma Shoes 80,Puma sports shoes for daily use,Puma,2481,1.8,shoes
81,Adidas Shoes 81,Adidas comfortable street shoes,Adidas,4281,2.6,shoes
82,Adidas Shoes 82,Adidas stylish sneakers for casual wear,Adidas,1239,1.2,shoes
83,Adidas Shoes 83,Adidas stylish sneakers for casual wear,Adidas,3978,1.5,shoes
84,Nike Shoes 84,Nike lightweight training shoes,Nike,2654,4.7,shoes
85,Puma Shoes 85,Puma sports shoes for daily use,Puma,2059,2.1,shoes
86,Adidas Shoes 86,Adidas ultraboost running shoes,Adidas,1535,2.5,shoes
87,Adidas Shoes 87,Adidas comfortable street shoes,Adidas,811,4.1,shoes
88,Adidas Shoes 88,Adidas comfortable street shoes,Adidas,4747,3.9,shoes
89,Reebok Shoes 89,Reebok fitness shoes for workouts,Reebok,650,1.9,shoes
90,Adidas Shoes 90,Adidas comfortable street shoes,Adidas,1784,1.1,shoes
91,Reebok Shoes 91,Reebok gym training sneakers,Reebok,4506,4.2,shoes
92,Adidas Shoes 92,Adidas comfortable street shoes,Adidas,890,2.8,shoes
93,Reebok Shoes 93,Reebok fitness shoes for workouts,Reebok,4067,2.7,shoes
94,Adidas Shoes 94,Adidas stylish sneakers for casual wear,Adidas,3377,1.1,shoes
95,Puma Shoes 95,Puma training shoes for gym,Puma,1101,4.3,shoes
96,Nike Shoes 96,Nike sports shoes for high performance,Nike,4250,4.5,shoes
97,Nike Shoes 97,Nike sports shoes for high performance,Nike,3773,2.3,shoes
98,Reebok Shoes 98,Reebok gym training sneakers,Reebok,4127,1.7,shoes
99,Puma Shoes 99,Puma training shoes for gym,Puma,1369,2.9,shoes
100,Adidas Shoes 100,Adidas ultraboost running shoes,Adidas,1733,1.1,shoes
101,Puma Shoes 101,Puma training shoes for gym,Puma,4587,1.4,shoes
